"","USD.Pledged","State","Backers.Count","Blurb.Length","Blurb.Caps","Campaign.Length","Decision.Timing","Goal","Name.Length","Name.Caps","Category","Category..parent.only.","Country","Spotlight","Staff.Pick"
"2729",23777.94493776,1,342,129,5,2592000,2592000,15000,40,5,"photography photobooks","photography","DE",TRUE,TRUE
"2767",0,0,0,119,11,2592000,2592001,150000,46,6,"food small batch","food","DE",FALSE,FALSE
"2411",4052.64,1,39,134,11,1728000,1728000,4000,22,3,"music rock","music","US",TRUE,FALSE
"1215",12072.57603815,1,165,127,2,3024000,3024000,15000,56,7,"technology fabrication tools","technology","AU",TRUE,FALSE
"63",578,1,15,120,3,3888000,3888000,500,43,14,"technology robots","technology","US",TRUE,FALSE
"690",4434.4649745795,1,39,80,1,5187600,5187600,37000,30,2,"film   video shorts","film & video","SE",TRUE,FALSE
"2678",0,0,0,128,7,2591814,250481,1000,58,11,"music blues","music","CA",FALSE,FALSE
"1190",47189,1,874,129,12,2160000,2160001,35000,44,5,"photography photobooks","photography","US",TRUE,TRUE
"2541",1685,1,22,71,4,5184000,5184000,1500,22,3,"music rock","music","US",TRUE,FALSE
"944",27147,1,282,39,7,1728000,1728000,18000,23,3,"food small batch","food","US",TRUE,FALSE
"1700",79,0,4,131,18,2588400,2588401,400,48,7,"publishing academic","publishing","US",FALSE,FALSE
"3122",4210.95505545,1,29,80,1,2614469,2614470,3000,47,10,"theater festivals","theater","GB",TRUE,FALSE
"2951",0,0,0,128,1,2592000,2592002,20,31,1,"food small batch","food","GB",FALSE,FALSE
"2481",6081,1,71,130,8,2744809,2744821,5000,32,5,"music classical music","music","US",TRUE,TRUE
"2991",346.82691024,1,19,48,2,914225,914225,250,21,1,"art illustration","art","GB",TRUE,FALSE
"2124",1703.820272,1,50,115,13,2653262,2653278,1000,32,5,"publishing fiction","publishing","GB",TRUE,TRUE
"1152",50,0,1,97,1,1480831,1480831,28400,46,7,"food small batch","food","US",FALSE,FALSE
"1155",3035,1,59,89,2,5184000,5184019,2500,36,7,"music classical music","music","US",TRUE,FALSE
"34",1455,0,60,127,2,3456000,3456002,10000,35,6,"technology gadgets","technology","US",FALSE,FALSE
"99",963.7285307,0,9,134,4,5050024,5050026,29500,25,6,"film   video horror","film & video","GB",FALSE,FALSE
"936",5623,1,110,94,11,2617057,2617057,5250,22,3,"games playing cards","games","US",TRUE,FALSE
"442",215.83,0,8,133,3,2678400,2678400,15000,29,7,"music hip hop","music","US",FALSE,FALSE
"2280",16700,1,101,123,11,2592000,2592001,16300,50,11,"photography photobooks","photography","US",TRUE,FALSE
"96",54522.33,1,903,133,9,2591874,2591874,6000,36,5,"music world music","music","US",TRUE,FALSE
"774",6777,1,227,123,2,1296000,1296001,3000,41,6,"games playing cards","games","US",TRUE,FALSE
"1128",2748.45343359,1,33,126,4,5184000,5184000,2000,51,21,"food","food","GB",TRUE,FALSE
"2194",1778.41056884,1,107,134,8,2592000,2592000,400,19,4,"comics comic books","comics","GB",TRUE,FALSE
